address,pair,base,quote
0x4Ef427Fb5dD965107b4A2Bd23da7e4F056141A03,ARB/USDT,ARB,USDT
0x0F0367D51C5fFF8e556528696e5C80ACC961E73C,BNB/USDT,BNB,USDT
0x61588842DD47B09A7c44291f0E1484C4388d5998,BTC/USDT,BTC,USDT
0x124Ed1d4E3b8f5Bc8d757f27db615fD6D4E2f284,CGO/USDT,CGO,USDT
0x6Fb5E127F59f49c848CC204A9a9a575CA52C1cD3,ETH/USDT,ETH,USDT
0x499b32df5dA30F5c531180AaDC7A32e208d86E7D,PLI/USDT,PLI,USDT
0x3A5C5Cb8959d2026B7a711772027D00a26BEf574,POL/USDT,POL,USDT
0x1a1484F5522C706497c29B61a924DfcEfDBc4109,SOL/USDT,SOL,USDT
0x7C1E05d37894A090E3f6277775C740bd4DbCBFAf,UNI/USDT,UNI,USDT
0x367fbb72B5123d14Ff4C749B21A01509FC4C6703,XDC/USDT,XDC,USDT
0xE1653a997363B5082C8240311BFe29F184dFad91,XRP/USDT,XRP,USDT